# Source https://galupki.de/kalender/sunmoon.php times from 2021
0101,0829,1603
0102,0829,1604
0103,0829,1605
0104,0829,1606
0105,0829,1608
0106,0828,1609
0107,0828,1610
0108,0827,1611
0109,0827,1613
0110,0826,1614
0111,0826,1616
0112,0825,1617
0113,0824,1619
0114,0824,1620
0115,0823,1622
0116,0822,1623
0117,0821,1625
0118,0820,1626
0119,0819,1628
0120,0818,1630
0121,0817,1631
0122,0816,1633
0123,0815,1635
0124,0813,1637
0125,0812,1638
0126,0811,1640
0127,0809,1642
0128,0808,1644
0129,0807,1645
0130,0805,1647
0131,0804,1649
0201,0802,1651
0202,0801,1653
0203,0759,1655
0204,0757,1656
0205,0756,1658
0206,0754,1700
0207,0752,1702
0208,0751,1704
0209,0749,1705
0210,0747,1707
0211,0745,1709
0212,0744,1711
0213,0742,1713
0214,0740,1715
0215,0738,1716
0216,0736,1718
0217,0734,1720
0218,0732,1722
0219,0730,1724
0220,0728,1725
0221,0726,1727
0222,0724,1729
0223,0722,1731
0224,0720,1733
0225,0718,1734
0226,0716,1736
0227,0714,1738
0228,0712,1740
0301,0710,1741
0302,0707,1743
0303,0705,1745
0304,0703,1746
0305,0701,1748
0306,0659,1750
0307,0657,1752
0308,0655,1753
0309,0652,1755
0310,0650,1757
0311,0648,1758
0312,0646,1800
0313,0644,1802
0314,0641,1803
0315,0639,1805
0316,0637,1807
0317,0635,1808
0318,0632,1810
0319,0630,1812
0320,0628,1813
0321,0626,1815
0322,0623,1817
0323,0621,1818
0324,0619,1820
0325,0617,1821
0326,0615,1823
0327,0612,1825
0328,0710,1926
0329,0708,1928
0330,0706,1930
0331,0703,1931
0401,0701,1933
0402,0659,1934
0403,0657,1936
0404,0655,1938
0405,0653,1939
0406,0650,1941
0407,0648,1942
0408,0646,1944
0409,0644,1946
0410,0642,1947
0411,0640,1949
0412,0638,1950
0413,0635,1952
0414,0633,1953
0415,0631,1955
0416,0629,1957
0417,0627,1958
0418,0625,2000
0419,0623,2001
0420,0621,2003
0421,0619,2004
0422,0617,2006
0423,0615,2008
0424,0613,2009
0425,0611,2011
0426,0609,2012
0427,0607,2014
0428,0606,2015
0429,0604,2017
0430,0602,2018
0501,0600,2020
0502,0558,2022
0503,0557,2023
0504,0555,2025
0505,0553,2026
0506,0552,2028
0507,0550,2029
0508,0548,2031
0509,0547,2032
0510,0545,2033
0511,0544,2035
0512,0542,2036
0513,0541,2038
0514,0539,2039
0515,0538,2041
0516,0536,2042
0517,0535,2043
0518,0534,2045
0519,0532,2046
0520,0531,2047
0521,0530,2049
0522,0529,2050
0523,0528,2051
0524,0527,2053
0525,0526,2054
0526,0525,2055
0527,0524,2056
0528,0523,2057
0529,0522,2058
0530,0521,2059
0531,0520,2100
0601,0519,2102
0602,0519,2103
0603,0518,2103
0604,0517,2104
0605,0517,2105
0606,0516,2106
0607,0516,2107
0608,0515,2108
0609,0515,2109
0610,0515,2109
0611,0514,2110
0612,0514,2111
0613,0514,2111
0614,0514,2112
0615,0514,2112
0616,0514,2113
0617,0514,2113
0618,0514,2113
0619,0514,2114
0620,0514,2114
0621,0514,2114
0622,0514,2115
0623,0514,2115
0624,0515,2115
0625,0515,2115
0626,0516,2115
0627,0516,2115
0628,0516,2115
0629,0517,2115
0630,0518,2114
0701,0518,2114
0702,0519,2114
0703,0519,2114
0704,0520,2113
0705,0521,2113
0706,0522,2112
0707,0523,2112
0708,0523,2111
0709,0524,2111
0710,0525,2110
0711,0526,2109
0712,0527,2108
0713,0528,2108
0714,0529,2107
0715,0530,2106
0716,0531,2105
0717,0533,2104
0718,0534,2103
0719,0535,2102
0720,0536,2101
0721,0537,2100
0722,0538,2059
0723,0540,2057
0724,0541,2056
0725,0542,2055
0726,0544,2054
0727,0545,2052
0728,0546,2051
0729,0548,2050
0730,0549,2048
0731,0550,2047
0801,0552,2045
0802,0553,2044
0803,0555,2042
0804,0556,2040
0805,0557,2039
0806,0559,2037
0807,0600,2035
0808,0602,2034
0809,0603,2032
0810,0605,2030
0811,0606,2029
0812,0608,2027
0813,0609,2025
0814,0610,2023
0815,0612,2021
0816,0613,2019
0817,0615,2017
0818,0616,2015
0819,0618,2014
0820,0619,2012
0821,0621,2010
0822,0622,2008
0823,0624,2006
0824,0625,2004
0825,0627,2001
0826,0628,1959
0827,0630,1957
0828,0631,1955
0829,0633,1953
0830,0634,1951
0831,0636,1949
0901,0637,1947
0902,0639,1945
0903,0641,1942
0904,0642,1940
0905,0644,1938
0906,0645,1936
0907,0647,1934
